Name,First_Name,Age,Hometown,Season,Race_Place,Special_Season
Matt Robar,Matt,28,"Simsbury, Connecticut",Season 1,11th,
Ana Robar,Ana,28,"Simsbury, Connecticut",Season 1,11th,
Kim Smith,Kim,28,"Baytown, Texas",Season 1,10th,
Leslie Kellner,Leslie,27,"Baytown, Texas",Season 1,10th,
Pat Pierce,Pat,43,"Landenberg, Pennsylvania",Season 1,9th,
Brenda Mehta,Brenda,42,"Elkton, Maryland",Season 1,9th,
Dave Groark,Dave,65,"Rockwall, Texas",Season 1,8th,
Margaretta Groark,Margaretta,60,"Rockwall, Texas",Season 1,8th,
Paul Alessi,Paul,32,"Los Angeles, California",Season 1,7th,
Amie Barsky,Amie,27,"Los Angeles, California",Season 1,7th,
Lenny Hudson,Lenny,33,"New York, New York",Season 1,6th,
Karyn Jefferson,Karyn,30,"New York, New York",Season 1,6th,
Nancy Hoyt,Nancy,46,"Waco, Texas",Season 1,5th,
Emily Hoyt,Emily,21,"Waco, Texas",Season 1,5th,
Kevin O'Connor,Kevin,34,"Bayonne, New Jersey",Season 1,4th,
Drew Feinberg,Drew,35,"Staten Island, New York",Season 1,4th,
Joe Baldassare,Joe,50,"Laguna Niguel, California",Season 1,3rd,
Bill Bartek,Bill,47,"Laguna Niguel, California",Season 1,3rd,
Frank Mesa,Frank,30,"Queens, New York",Season 1,2nd,
Margarita Mesa,Margarita,28,"Queens, New York",Season 1,2nd,
Rob Frisbee,Rob,27,"Minneapolis, Minnesota",Season 1,1st,
Brennan Swain,Brennan,29,"Rochester, New York",Season 1,1st,
Deidre Washington,Deidre,51,"Miami, Florida",Season 2,11th,
Hillary Washington,Hillary,23,"Brooklyn, New York",Season 2,11th,
Hope Davis,Hope,38,"Clinton, Tennessee",Season 2,10th,
Norm Davis,Norm,39,"Clinton, Tennessee",Season 2,10th,
Peggy Kuhn,Peggy,63,"Truckee, California",Season 2,9th,
Claire Jinks,Claire,65,"Los Gatos, California",Season 2,9th,
Shola Richards,Shola,27,"Albany, New York",Season 2,8th,
Doyin Richards,Doyin,27,"Albany, New York",Season 2,8th,
Cyndi Kalenberg,Cyndi,45,"Brainerd, Minnesota",Season 2,7th,
Russell Kalenberg,Russell,46,"Brainerd, Minnesota",Season 2,7th,
Mary Lenig,Mary,38,"Sunbury, Pennsylvania",Season 2,6th,
Peach Krebs,Peach,33,"Paxinos, Pennsylvania",Season 2,6th,
Gary Rosen,Gary,33,"New York, New York",Season 2,5th,
Dave Lepeska,Dave,28,"Brooklyn, New York",Season 2,5th,
Oswald Mendez,Oswald,31,"Miami, Florida",Season 2,4th,
Danny Jimenez,Danny,36,"Miami, Florida",Season 2,4th,
Blake Mycoskie,Blake,25,"Nashville, Tennessee",Season 2,3rd,
Paige Mycoskie,Paige,21,"Arlington, Texas",Season 2,3rd,
Tara Lynch,Tara,31,"Los Angeles, California",Season 2,2nd,
Wil Steger,Wil,37,"Los Angeles, California",Season 2,2nd,
Chris Luca,Chris,25,"Boston, Massachusetts",Season 2,1st,
Alex Boylan,Alex,24,"Boston, Massachusetts",Season 2,1st,
Gina Diggins,Gina,35,"Hilton Head Island, South Carolina",Season 3,12th,
Sylvia Pitts,Sylvia,34,"Hilton Head Island, South Carolina",Season 3,12th,
Tramel Raggs,Tramel,22,"Gary, Indiana",Season 3,11th,
