Age_x,Age_y,LGBT_team,AficanAm_team,Friend_team,Family_team,Stranger_team,Female_team,Male_team,Coed_team,AsianAm_team,Married_team,Disabled_team,Hispanic_team,Couple_or_Ex_team,Interracial_team,RealityShow_team,Season,RPlace,Name_x,Name_y,Hometown_x,Hometown_y,Avg_Age,Age_Diff,State_x,State_y,Same_State,Occupation_x,Occupation_y,profile_txt,profile_txt2,Top_3,Y
28,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11,Matt Robar,Ana Robar,"Simsbury, Connecticut","Simsbury, Connecticut",28.0,0, Connecticut, Connecticut,True,Military folk,Military folk,"[""I'd most like to receive a letter from: Nobody\nComfort item from home I'll miss the most: My music\nHobby or activity I'll miss the most: Starting the softball season\nI'd most like to receive a phone call from: My sister\nSunday paper I read most often: Hartford Courant\nFavorite TV show: That '70s Show\nFavorite Movie: Fast Times at Ridgemont High\nFavorite Actor: Nicolas Cage\nFavorite Actress: Meg Ryan\nFavorite Music: Alternative\n"", ""I'd most like to receive a letter from: No one\nComfort item from home I'll miss the most: Heavy blanket\nHobby or activity I'll miss the most: Swimming\nI'd most like to receive a phone call from: Mom\nSunday paper I read most often: Hartford Courant\nFavorite TV show: Survivor\nFavorite Movie: Gladiator\nFavorite Actor: Tom Hanks\nFavorite Actress: Jessica Lange\nFavorite Music: Alternative\n"", 'Matt & Ana are the sixth team introduced at the Starting Line at the Bethesda Fountain in Central Park, New York City. In their first confessional, Ana describes herself as ""high-strung and bossy"", but that it\'s those qualities Matt likes in her. Matt compliments his wife, saying she is ""smart"" and has ""a good head on her shoulders"", but almost never listens to his gut instincts.\n', ""After Phil Keoghan officially starts the first leg of the race, they learn they have to fly to Johannesburg, South Africa, where they'll find their next clue in Johannesburg International Airport, and that there are three flights to Johannesburg from New York City, but are not informed from which airport they're departing at. They decide to head to the subway to find a phone. Using a payphone, they find that the flights are located at John F. Kennedy International Airport. Matt & Ana take the subway to get to JFK, where Ana panics, hoping they don't end up being the first team eliminated, though Matt attempts to console her on the matter.\n"", 'Matt & Ana ultimately take a slow form of transportation, ending up on the third flight into Johannesburg along with Kevin & Drew, Nancy & Emily, and Paul & Amie.\n', 'After landing in Johannesburg, they pick up the second clue informing them to sign up for a charter flight to Livingstone, Zambia, and get their next clue from a car waiting outside of Livingstone Airport. Matt & Ana once again find themselves on the final flight with Kevin & Drew, Nancy & Emily, and Paul & Amie.\n', ""Matt & Ana opt to drive themselves to their next destination at Knife's Edge Bridge at Victoria Falls. After easily getting to Victoria Falls and getting their next clue to Batoka Gorge, they attempt to find a local who can point them in the right direction, but the locals do not know where the gorge is, prompting Matt to make some derogatory remarks about them. After struggling to find the gorge, the married couple end up being the second-to-last team to arrive, and learn of the Detour. They choose to perform Air, which has teams zipline down the gorge, then bungee jump. After completing the task, and learning the Pit Stop is at Songwe Village. Both Matt & Ana and Kevin & Drew end up racing to get to the Pit Stop before the other. Despite Nancy & Emily getting lost on they way as well, Matt & Ana are the last team to arrive, and become the first team to be eliminated from The Amazing Race.\n"", ""Notes:\n\n1: There was an unaired Roadblock where one teammate had to cook a whole ostrich egg for the whole team to eat. While they weren't shown doing the roadblock in the DVD release, Matt later confirmed that he did the Roadblock.""]",['no profile info'],0,0
28,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10,Kim Smith,Leslie Kellner,"Baytown, Texas","Baytown, Texas",27.5,1, Texas, Texas,True,Teachers,Teachers,"[""I'd most like to receive a letter from: Carole\nComfort item from home I'll miss the most: My bed\nHobby or activity I'll miss the most: Sitting on the back porch\nI'd most like to receive a phone call from: Will\nSunday paper I read most often: None\nFavorite TV show: Friends\nFavorite Movie: Legends of the Fall\nFavorite Actor: Brad Pitt\nFavorite Actress: Julia Roberts\nFavorite Music: Alternative\n"", ""I'd most like to receive a letter from: Martin and Julie, my brother and sister-in-law\nComfort item from home I'll miss the most: My bed\nHobby or activity I'll miss the most: Coaching\nI'd most like to receive a phone call from: Mom and Dad\nSunday paper I read most often: Houston Post\nFavorite TV show: Who Wants to Be a Millionaire\nFavorite Movie: Notting Hill\nFavorite Actor: Matt Damon\nFavorite Actress: Julia Roberts\nFavorite Music: Spanish\n"", 'Kim & Leslie are the third team introduced at the Starting Line at the Bethesda Fountain in Central Park, New York City. In their confessional, Kim states that she and Leslie are ""mentally prepared to handle anything that comes along"", while Leslie states her major concern is dying over the course of the race.\n', ""After Phil Keoghan officially starts the first leg of the race, they learn they have to fly to Johannesburg, South Africa, where they'll find their next clue in Johannesburg International Airport, and that there are three flights to Johannesburg from New York City, but are not informed from which airport they're departing at. The roommates decide to try to hail a cab in the busy New York City streets. They're unsuccessful with their first attempt, but find a cab that will take them to John F. Kennedy International Airport.\n"", 'Despite intending to head to Alitalia airlines, their cab driver takes them to where Swiss Air is located instead. This benefits the women, as they are on the second flight out to Johannesburg, with Dave & Margaretta on board as well, rather than on the later Alitalia flight.\n', 'After landing in Johannesburg, they pick up the second clue informing them to sign up for a charter flight to Livingstone, Zambia, and get their next clue from a car waiting outside of Livingstone Airport. Kim & Leslie end up on the third charter flight with Dave & Margaretta.\n', 'Kim & Leslie decide to drive themselves to Victoria Falls, rather than hire a driver. Kim & Leslie are the second team to get the clue at Victoria Falls, and decide against going for the Fast Forward, and instead go to Batoka Gorge. On their way to the gorge, they drop to 6th. Arriving at Batoka Gorge, they learn of the Detour. Kim & Leslie decide to perform Air, which will involve them ziplining down the gorge, then bungee jumping to receive their next clue.\n', ""Finishing the Detour, they are told to head to Songwe Village. At the village, Kim & Leslie find the clue for the Roadblock. The task has one member cook an ostrich egg for the whole team to eat. Kim performs the Roadblock for her team. After completing the Roadblock, they're told to head to the nearby Pit Stop to check in. Kim & Leslie finish the first leg in 6th.\n"", 'Kim & Leslie start Leg 2 at 5:33 am. Opening their clue, they are told to head to Songwe Museum. As they drive out of Songwe Village, they spot the museum. Grabbing their next clue, which informs them of the Detour. They choose Near and head to Mosi-oa-Tunya National Park to photograph animals.\n', 'After photographing three required animals, the roommates drive to Mukuni Village to exchange their photos for their next clue, a statue of the Eiffel Tower, indicating them must fly to Paris, France.\n', 'At Johannesburg International Airport, Kim & Leslie find a ticket counter, trying to find flights to Paris via Amsterdam, London, or Brussels. Amie walks up to the same counter the roommates are at, and after Kim orders four tickets, she informs the ticket attendant that Amie is not with them. This escalates as Kim, Leslie, and Amie begin to argue over the situation. The ticket attendant is able to diffuse the three women, and both teams are on the third flight to Paris.\n', 'Once they landed in Paris, as Paul & Amie wait in line for a cab, Kim & Leslie simply cut them and attempt to get into the taxi. This leads to another argument, but Kim & Leslie win as they take the cab to the Eiffel Tower. Ironically, Kim & Leslie arrive after Paul & Amie at the Eiffel Tower. Missing the clue box at the base of the tower, they head to the observation deck to look for a yellow and white flag.\n', 'After looking and asking around, a French gentleman informs Kim & Leslie that he saw a yellow and white flag at the base of the tower. Finding their next clue, it is revealed to be a Roadblock. Kim volunteers to perform the task, and heads up to the observation deck to search for something ""monumental"". In a five-way tie for last, Kim, Dave, Paul, Emily, and Karyn are all frantically searching for their next clue. Kim is the second-to-last to spot the flag on top of the Arc de Triomphe from the group, after Paul and Emily colluded together to show Lenny.\n', ""Back on the ground, she and Leslie get into a cab and head to the monument. They however make a mistake by getting out of their taxi across the street from the Arc de Triomphe, allowing the other trailing teams to check in before them. Once they've arrived at the Pit Stop, Phil informs them they are the last team to arrive and have been eliminated from The Amazing Race.\n"", 'Notes:\n\n1: There was an unaired Roadblock where one teammate had to cook a whole ostrich egg for the whole team to eat.\n\n']",['no profile info'],0,0
43,42,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9,Pat Pierce,Brenda Mehta,"Landenberg, Pennsylvania","Elkton, Maryland",42.5,1, Pennsylvania, Maryland,False,Missing,Missing,"[""I'd most like to receive a letter from: My kids Caitlin and Michael\nComfort item from home I'll miss the most: Waterbed and hot tub\nHobby or activity I'll miss the most: Cuddling with my loved ones\nI'd most like to receive a phone call from: Caitlin and Michael or Charlie\nSunday paper I read most often: Delaware New Journal\nFavorite TV show: Weather Channel\nFavorite Movie: Casablanca\nFavorite Actor: Harrison Ford\nFavorite Actress: Susan Sarandon\nFavorite Music: Jimmy Buffet; Blues\n"", ""I'd most like to receive a letter from: My husband and kids\nComfort item from home I'll miss the most: My kids' hugs and kisses\nHobby or activity I'll miss the most: Working out at the gym\nI'd most like to receive a phone call from: My husband and kids\nSunday paper I read most often: News Journal\nFavorite TV show: Lonely Planet; Survivor\nFavorite Movie: Joe Versus the Volcano\nFavorite Actor: Kevin Spacey\nFavorite Actress: Meryl Streep\nFavorite Music: World; Blues\n"", 'Pat & Brenda are the eighth team introduced at the Starting Line at the Bethesda Fountain in Central Park, New York City. In their confessional, Brenda says she hopes that she and Pat inspires other women with families to be themselves, while Pat states while their husbands weren\'t ""real crazy"" for them going around the world, that she and Brenda decided to apply for the show anyway.\n', ""After Phil Keoghan officially starts the first leg of the race, they learn they have to fly to Johannesburg, South Africa, where they'll find their next clue in Johannesburg International Airport, and that there are three flights to Johannesburg from New York City, but are not informed from which airport they're departing at. The mothers decide to head toward Times Square to catch a taxi. They are able to make it on the first flight to South Africa, along with Frank & Margarita, Joe & Bill, Lenny & Karyn, and Rob & Brennan.\n"", 'After landing in Johannesburg, they pick up the second clue informing them to sign up for a charter flight to Livingstone, Zambia, and get their next clue from a car waiting outside of Livingstone Airport. Pat & Brenda end up on the second charter with Lenny & Karyn.\n', 'After they decide to hire a driver, they head to Victoria Falls, Pat & Brenda head to Batoka Gorge for their next clue, rather than perform the Fast Forward. At this point in the Race, they are currently in fifth.\n', 'Arriving at Batoka Gorge, they find the Detour. Despite Pat being scared, the mothers decide to do Air. After finishing the task, they receive their next clue informing them to head to the Pit Stop at Songwe Village. They finish the leg in 5th place.\n', 'Pat & Brenda start Leg 2 at 3:35 am. Opening their clue, they are told to head to Songwe Museum. They decide to drive from the village to find the museum. Despite asking for directions, they cannot locate the museum and choose to do the Fast Forward. Pat & Brenda head toward Bundu Adventures.\n', 'After arriving, the mothers have to whitewater raft down a part of the Zambezi River to get the Fast Forward pass. They complete the task, and earn the Fast Forward, informing them to head to the Arc de Triomphe in Paris, France. Both are excited to visit Paris.\n', 'Despite Brenda having a breakdown while in Johannesburg International Airport, they are able to get one of the first two flights to Paris. Once they arrive at Charles de Gaulle Airport in Paris, they head to the Pit Stop at the Arc de Triomphe, while the other teams head to the Eiffel Tower. After touching on the Pit Stop, they finish the leg in 1st.\n', 'Pat & Brenda started the third leg at 9:06 pm. Opening the first clue for the leg, they are told to head to La Grande Roue. After asking a local Parisian, who points out the Ferris wheel is further down the street, the mothers decide to take the subway to get there. After arriving to the site of the attraction, Pat & Brenda find the clue for the Detour. They choose Easy Walk, where they have to find Foucault pendulum and get their next clue from a cat statue. Not knowing that there are two Foucault pendulums in Paris, they head unintentionally to the incorrect location at Musée des Arts et Métiers to wait until the location opens. They look around the grounds before the location opens, seeing the pendulum, but no cat statue.\n', 'The following morning, at 10:00 am, Pat & Brenda enter the museum. They search for a cat statue, but are still unable to find it. A curator, who overheard the mothers, informs them that they are likely looking for the pendulum at the Panthéon. They exit the museum to get to the correct location.\n', ""After getting the clue at the Panthéon, they are informed to head to Hôtel de Ville, where they will need to find a person in a blue suit, who'll give them their next clue. Pat & Brenda decide to take the subway to get there.\n"", ""Once they get their clue from the man at Hôtel de Ville, they find the Roadblock. Pat volunteers to perform the task. For the Roadblock, Pat will have to wear a sanitary suit and walk through the sewers to find their clue near Place du Châtelet. After finishing the Roadblock, they learn they have to make their way to the Pit Stop at Château des Baux in Les Baux de Provence by train. Despite their hopes, however, their error with the location of the pendulum caused too big of a gap between them and the other teams. Phil informs Pat & Brenda once they've reached the mat, they've been eliminated from The Amazing Race.\n"", ""Notes: \n\n1: There was an unaired Roadblock where one teammate had to cook a whole ostrich egg for the whole team to eat. While they weren't shown doing the roadblock in the DVD release, Pat confirmed that she did the roadblock in a later interview.""]",['no profile info'],0,0
65,60,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,8,Dave Groark,Margaretta Groark,"Rockwall, Texas","Rockwall, Texas",62.5,5, Texas, Texas,True,Air Force Pilot ,Retired ,"[""I'd most like to receive a letter from: My kids\nComfort item from home I'll miss the most: Nothing\nHobby or activity I'll miss the most: Flying\nI'd most like to receive a phone call from: NASA, with a space slot\nSunday paper I read most often: Dallas Morning News\nFavorite TV show: History Channel\nFavorite Movie: Flying Tigers\nFavorite Actor: Alan Ladd\nFavorite Actress: Meg Ryan\nFavorite Music: Country & Western\n"", ""I'd most like to receive a letter from: President Bush\nComfort item from home I'll miss the most: Total bathroom facility\nHobby or activity I'll miss the most: Flying (as a pilot)\nI'd most like to receive a phone call from: Our grandbabies\nSunday paper I read most often: Dallas Morning News\nFavorite TV show: Ally McBeal\nFavorite Movie: Auntie Mame\nFavorite Actor: Mel Gibson\nFavorite Actress: Michelle Pfeiffer\nFavorite Music: 60s and 70s sounds\n"", 'Dave & Margaretta are the fifth team introduced at the Starting Line at the Bethesda Fountain in Central Park, New York City. In their confessional, Margaretta remarks her husband can be a bit bossy, and she doesn\'t take orders very well. Dave says that his wife is an ""amazing lady"" and ""she can do anything she sets her mind to.""\n', ""After Phil Keoghan officially starts the first leg of the race, they learn they have to fly to Johannesburg, South Africa, where they'll find their next clue in Johannesburg International Airport, and that there are three flights to Johannesburg from New York City, but are not informed from which airport they're departing at. Despite the married couple departing last from the Starting Line, they are still able to get on the second flight with Kim & Leslie.\n"", 'After landing in Johannesburg, they pick up the second clue informing them to sign up for a charter flight to Livingstone, Zambia, and get their next clue from a car waiting outside of <a href=""http://en.wikipedia.org/wiki/Livingstone_Airport"" class=""extiw"" titl']",['no profile info'],0,0
32,27,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,7,Paul Alessi,Amie Barsky,"Los Angeles, California","Los Angeles, California",29.5,5, California, California,True,Actor ,Bartender ,"[""I'd most like to receive a letter from: Brothers\nComfort item from home I'll miss the most: Pillows\nHobby or activity I'll miss the most: Ice hockey; gym\nI'd most like to receive a phone call from: Mother\nSunday paper I read most often: New York Daily News\nFavorite TV show: Friends\nFavorite Movie: The Godfather\nFavorite Actor: Robert De Niro\nFavorite Actress: Meg Ryan\nFavorite Music: Rock; Alternative\n"", ""I'd most like to receive a letter from: Parents; grandmom and pop\nComfort item from home I'll miss the most: Music; pillows; massager\nHobby or activity I'll miss the most: Rollerblading; dance class; emails\nI'd most like to receive a phone call from: My sister Deana\nSunday paper I read most often: Los Angeles Times\nFavorite TV show: Friends\nFavorite Movie: Good Will Hunting\nFavorite Actor: Robert Downey Jr.\nFavorite Actress: Julia Roberts\nFavorite Music: R&B\n"", 'Paul & Amie are the second team introduced at the Starting Line at the Bethesda Fountain in Central Park, New York City. In their confessional, they remark that the race will have an impact on their relationship.\n', ""After Phil Keoghan officially starts the first leg of the race, they learn they have to fly to Johannesburg, South Africa, where they'll find their next clue in Johannesburg International Airport, and that there are three flights to Johannesburg from New York City, but are not informed from which airport they're departing at. Using a payphone, Paul gets information that the flights are departing from John F. Kennedy International Airport. They argue a bit over whether to take a train or cab to the airport, they take a train, however they get off at the wrong station. This mistake costs them, as they are on the third flight to Johannesburg with Kevin & Drew, Matt & Ana, and Nancy & Emily.\n"", 'After landing in Johannesburg, they pick up the second clue informing them t']",['no profile info'],0,0
33,30,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,6,Lenny Hudson,Karyn Jefferson,"New York, New York","New York, New York",31.5,3, New York, New York,True,Lawyer ,Lawyer ,"[""I'd most like to receive a letter from: My mother Joan\nComfort item from home I'll miss the most: CD player and music\nHobby or activity I'll miss the most: Coaching basketball\nI'd most like to receive a phone call from: My niece Lorin\nSunday paper I read most often: Daily News Sports\nFavorite TV show: Oz, The Sopranos\nFavorite Movie: The Fugitive\nFavorite Actor: Samuel L. Jackson\nFavorite Actress: Lynn Whitfield\nFavorite Music: R&B; Jazz; Hip Hop; Salsa; Gospel\n"", ""I'd most like to receive a letter from: My brother Kevin\nComfort item from home I'll miss the most: Yellow blanket my mom knitted for me\nHobby or activity I'll miss the most: Working with the Red Cross of Metro, New Jersey\nI'd most like to receive a phone call from: My parents, George and Nancy\nSunday paper I read most often: Star Ledger\nFavorite TV show: Sex and the City\nFavorite Movie: The Untouchables\nFavorite Actor: Denzel Washington\nFavorite Actress: Julia Roberts\nFavorite Music: R&B;Gospel\n""]",['no profile info'],0,0
46,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,Nancy Hoyt,Emily Hoyt,"Waco, Texas","Waco, Texas",33.5,25, Texas, Texas,True,Home Economist ,Student ,"[""I'd most like to receive a letter from: My husband John; my sons Matthew and Eric\nComfort item from home I'll miss the most: Electric blanket\nHobby or activity I'll miss the most: Leisurely reading\nI'd most like to receive a phone call from: My husband John\nSunday paper I read most often: Waco Tribune Herald\nFavorite TV show: Survivor\nFavorite Movie: Gone with the Wind\nFavorite Actor: Harrison Ford\nFavorite Actress: Meryl Streep\nFavorite Music: Broadway show tunes\n"", ""I'd most like to receive a letter from: My boyfriend Trey\nComfort item from home I'll miss the most: My boyfriend; down comforter\nHobby or activity I'll miss the most: Spending time with my friends\nI'd most like to receive a phone call from: Trey\nSunday paper I read most often: None\nFavorite TV show: Survivor\nFavorite Movie: Gone with the Wind\nFavorite Actor: Sean Connery\nFavorite Actress: Catherine Zeta-Jones\nFavorite Music: Rock; Oldies; old Country; Alternative\n""]",['no profile info'],0,0
30,28,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,Frank Mesa,Margarita Mesa,"Queens, New York","Queens, New York",29.0,2, New York, New York,True,Missing,Missing,"[""I'd most like to receive a letter from: My daughter (if she could write!)\nComfort item from home I'll miss the most: Bed with lots of pillows\nHobby or activity I'll miss the most: Working out with free weights\nI'd most like to receive a phone call from: My daughter\nSunday paper I read most often: New York Times\nFavorite TV show: Lonely Planet\nFavorite Movie: Scarface\nFavorite Actor: Al Pacino\nFavorite Actress: Hillary Swank\nFavorite Music: Hip Hop\n"", ""I'd most like to receive a letter from: My old best friend in California\nComfort item from home I'll miss the most: My daughter\nHobby or activity I'll miss the most: Playing with my daughter\nI'd most like to receive a phone call from: Any of my close friends or family\nSunday paper I read most often: New York Times\nFavorite TV show: Seinfeld\nFavorite Movie: Cast Away\nFavorite Actor: Javier Bardem\nFavorite Actress: Juliette Binoche\nFavorite Music: Hip Hop; R&B; Salsa\n"", 'Notes:\n\n1: Leg 1 had an unaired Roadblock where one teammate had to cook a whole ostrich egg for the whole team to eat. Frank was shown completing the task in the DVD release.\n\n2: Frank & Margarita originally checked in at the Pit Stop in 1st Place, but they incurred a 30-minute penalty for not following a clue correctly before they were officially checked in. However, This did not affect their placement.\n\n']",['no profile info'],1,0
27,29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,Rob Frisbee,Brennan Swain,"Minneapolis, Minnesota","Rochester, New York",28.0,2, Minnesota, New York,False,Lawyers,Lawyers,"[""I'd most like to receive a letter from: Kelly\nComfort item from home I'll miss the most: Stereo/music\nHobby or activity I'll miss the most: Writing; working out\nI'd most like to receive a phone call from: Parents\nSunday paper I read most often: Los Angeles Times\nFavorite TV show: NYPD Blue; X Files\nFavorite Movie: A River Runs Through It; Ghost in the Shell\nFavorite Actor: Anthony Hopkins\nFavorite Actress: Julia Roberts\nFavorite Music: Hard Rock\n"", ""I'd most like to receive a letter from: Lisa\nComfort item from home I'll miss the most: DVD/CD player\nHobby or activity I'll miss the most: Surfing\nI'd most like to receive a phone call from: Parents\nSunday paper I read most often: Los Angeles Times\nFavorite TV show: SportsCenter\nFavorite Movie: Star Wars\nFavorite Actor: Harrison Ford\nFavorite Actress: Natalie Portman\nFavorite Music: Alternative\n""]",['no profile info'],1,1
51,23,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,11,Deidre Washington,Hillary Washington,"Miami, Florida","Brooklyn, New York",37.0,28, Florida, New York,False,Financial advisor ,Nude model for art school ,"['Mother and daughter Deidre and Hillary have done quite a bit of traveling together. When Deidre was a flight attendant, she sometimes pulled Hillary out of school and took her on trips. When they travel, Hillary\'s pet peeve is when Deidre combs her hair and gets it all over the bathroom floor. But ""she is so much fun to be around,"" Hillary adds, ""We laugh like crazy people when we are together.""\n', 'Deidre and Hillary decided to team up for THE AMAZING RACE because, in Hillary\'s words, ""Who wouldn\'t want two SENSATIONAL girls to make the world laugh?"" She adds, ""I think this experience will help my mom see life through my eyes and understand me more as a friend and not only as a daughter.""\n', 'What strengths and weaknesses do you bring to the Team?\n', 'What strengths and weaknesses does your teammate bring to the Team?\n', 'What is your favorite film?\n', 'What is your favorite TV show?\n', 'Who is your favorite actor?\n', 'Who is your favorite actress\n', 'What is your favorite band?\n', 'What comfort item from home will you miss the most?\n']",['no profile info'],0,0
