,/occupation/occupation_name_short_singular,/occupation/quick_facts/qf_median_pay_annual/value,/occupation/what_they_do/section_body,/occupation/how_to_become_one/section_body,/occupation/summary_work_environment,/occupation/similar_occupations/section_body
0,Accountant or Auditor,79880.0,"Accountants and auditors prepare and examine financial records, identify potential areas of opportunity and risk, and provide solutions for businesses and individuals. They ensure that financial records are accurate, that financial and data risks are evaluated, and that taxes are paid properly. They also assess financial operations and work to help ensure that organizations run efficiently.   Examine financial statements to ensure that they are accurate and comply with laws and regulations Government accountants ","Accountants and auditors typically need at least a bachelor’s degree in accounting or a related field to enter the occupation. Completing certification in a specific field of accounting, such as becoming a licensed Certified Public Accountant (CPA), may improve job prospects.     Analytical and critical-thinking skills.  ","Most accountants and auditors work full time. Overtime hours are typical at certain periods of the year, such as for quarterly audits or during tax season.","accountants and auditors.    Bookkeeping, accounting, and auditing clerks compute, classify, and record data to help organizations keep complete and accurate financial records. Budget analysts help public and private organizations plan their finances. Cost estimators collect and analyze data in order to assess the time, money, materials, and labor required to make a product or provide a service. Financial analysts guide businesses and individuals in decisions about expending money to attain profit. Financial managers create financial reports, direct investment activities, and develop plans for the long-term financial goals of their organization. Management analysts recommend ways to improve an organization’s efficiency. Personal financial advisors provide advice to help individuals manage their money and plan for their financial future. Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level. Tax examiners and collectors, and revenue agents determine how much is owed in taxes and collect tax from individuals and businesses on behalf of the government. Top executives plan strategies and policies to ensure that an organization meets its goals."
1,Actor,,"Actors express ideas and portray characters in theater, film, television, and other performing arts media. They interpret a writer’s script to entertain or inform an audience.  Read scripts and meet with agents and other professionals before accepting a role  ","Actors typically enhance their skills through formal education, and long-term training is common.   Creativity. ","Actors work in various settings, including production studios, theaters, and theme parks, or on location. Work assignments are usually short, ranging from 1 day to a few months.","actors.    Announcers present news and sports or may interview guests on media such as radio and television. Disc jockeys (DJs) act as masters of ceremonies (emcees) or play recorded music at weddings, parties, or clubs. Dancers and choreographers use dance performances to express ideas and stories. Film and video editors and camera operators manipulate moving images that entertain or inform an audience. Special effects artists and animators create images that appear to move and visual effects for various forms of media and entertainment. Musicians and singers play instruments or sing for live audiences and in recording studios. Producers and directors make business and creative decisions about film, television, stage, and other productions."
2,Actuary,120000.0,"Actuaries analyze the financial costs of risk and uncertainty. They use mathematics, statistics, and financial theory to assess the risk of potential events, and they help businesses and clients develop policies that minimize the cost of that risk. Actuaries’ work is essential to the insurance industry.  Compile and analyze statistical data and other information Health insurance actuaries ","To enter the occupation, actuaries typically need a bachelor’s degree in mathematics, actuarial science, statistics, or some other analytical field. Students must complete coursework in subjects such as economics, applied statistics, and corporate finance and must pass a series of exams to become certified.   Analytical skills. ","Most actuaries work for insurance companies. Although most work full time in an office setting, some actuaries who work as consultants travel to meet with clients.","actuaries.    Accountants and auditors prepare and examine financial records. Budget analysts help public and private organizations plan their finances. Cost estimators collect and analyze data in order to assess the time, money, materials, and labor required to make a product or provide a service. Data scientists use analytical tools and techniques to extract meaningful insights from data. Economists conduct research, prepare reports, and evaluate issues related to monetary and fiscal policy. They also may collect and analyze statistical data. Financial analysts guide businesses and individuals in decisions about expending money to attain profit. Insurance underwriters evaluate insurance applications and decide whether to approve them. Mathematicians and statisticians analyze data and apply computational techniques to solve problems. Personal financial advisors provide advice to help individuals manage their money and plan for their financial future. Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level."
3,Administrative Services or Facilities Manager,104900.0,"Administrative services and facilities managers plan, direct, and coordinate activities that help an organization run efficiently.  Supervise staff business office manager ",Educational requirements for administrative services and facilities managers vary by organization and the work they do. But these workers typically need a bachelor’s degree and related work experience.   Analytical skills. ,"Most administrative services and facilities managers work full time, and some work more than 40 hours per week.","administrative services and facilities managers.    Compensation and benefits managers plan, develop, and oversee programs to pay employees. Cost estimators collect and analyze data in order to assess the time, money, materials, and labor required to make a product or provide a service. Human resources managers plan, coordinate, and direct the administrative functions of an organization. Management analysts recommend ways to improve an organization’s efficiency. Meeting, convention, and event planners arrange all aspects of events and professional gatherings. Postsecondary education administrators oversee student services, academics, and faculty research at colleges and universities. Property, real estate, and community association managers oversee many aspects of residential, commercial, or industrial properties. Buyers and purchasing agents buy products and services for organizations. Purchasing managers oversee the work of buyers and purchasing agents. Top executives plan strategies and policies to ensure that an organization meets its goals."
4,Adult Basic or Secondary Education or ESL Teacher,60560.0,"Adult basic and secondary education and ESL (English as a Second Language) teachers instruct adults in fundamental skills, such as reading, writing, and speaking English. They also help students earn their high school equivalency credential.  Plan and teach lessons to help students gain the knowledge and skills needed to earn their high school equivalency credential Adult basic education (ABE) ",Adult basic and secondary education and ESL teachers who work in public schools typically need at least a bachelor’s degree and a license or certification.   Communication skills. ,"Adult basic and secondary education and ESL teachers are often employed by community colleges, community-based organizations, and public schools. Part-time work is common.","adult basic and secondary education and ESL teachers.    Career and technical education teachers instruct students in various technical and vocational subjects, such as auto repair, healthcare, and culinary arts. High school teachers teach academic lessons and various skills that students will need to attend college and to enter the job market. Instructional coordinators oversee school curriculums and teaching standards. They develop instructional material, implement it, and assess its effectiveness. Kindergarten and elementary school teachers instruct young students in basic subjects in order to prepare them for future schooling. Librarians and library media specialists help people find information and conduct research for personal and professional use. Middle school teachers educate students, typically in sixth through eighth grades. Postsecondary teachers instruct students in a variety of academic subjects beyond the high school level. School counselors help students develop academic and social skills. Career counselors and advisors help people choose a path to employment. Social workers help people prevent and cope with problems in their everyday lives. Special education teachers work with students who have a wide range of learning, mental, emotional, and physical disabilities. Teacher assistants work with a licensed teacher to give students additional attention and instruction. Interpreters and translators convert information from one language into another language."
5,"Advertising, Promotions, or Marketing Manager",156580.0,"Advertising, promotions, and marketing managers plan programs to generate interest in products or services. They work with art directors, advertising sales agents, financial staff, and others to develop strategies and materials.  Work with department heads or staff to discuss topics such as budgets and contracts, creative vision, marketing plans, and media buying Advertising managers ","Advertising, promotions, and marketing managers typically need a bachelor’s degree. They also typically need work experience in a related occupation.   Analytical skills. ","Advertising, promotions, and marketing managers typically work in an office setting. They may travel to meet with clients or media representatives. Most of these managers work full time, and some work more than 40 hours per week.","advertising, promotions, and marketing managers.    Advertising sales agents sell promotional space to businesses and individuals. Art directors are responsible for the visual style and images in magazines, newspapers, product packaging, and movie and television productions. Editors plan, review, and revise content for publication. Graphic designers create visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, and captivate consumers. Market research analysts study consumer preferences, business conditions, and other factors to assess potential sales of a product or service. Sales managers plan, direct, or coordinate the delivery of a product or service to the customer. Financial managers create financial reports, direct investment activities, and develop plans for the long-term financial goals of their organization. Project management specialists coordinate the budget, schedule, staffing, and other details of a project. Public relations managers direct the creation of materials that will enhance the public image of their employer or client. Fundraising managers coordinate campaigns that bring in donations for their organization. Public relations specialists create and maintain a positive public image for the clients they represent."
6,Advertising Sales Agent,61270.0,"Advertising sales agents, also called advertising sales representatives, sell advertising space to businesses and individuals. They contact potential clients, make sales presentations, and maintain client accounts.  Locate and contact potential clients to offer their firm’s advertising services advertising sales representatives ","Advertising sales agents typically need at least a high school diploma to enter the occupation, although some employers require or prefer that candidates have a bachelor’s degree. Once hired, these workers typically receive training on the job. Sales and communication skills are essential.   Communication skills. ",Advertising sales agents work under pressure to meet sales quotas. They may travel to visit current and prospective clients. Most work full time.,"advertising sales agents.    Advertising, promotions, and marketing managers plan programs to generate interest in products or services. Insurance sales agents contact potential customers and sell one or more types of insurance. Market research analysts study consumer preferences, business conditions, and other factors to assess potential sales of a product or service. Sales managers plan, direct, or coordinate the delivery of a product or service to the customer. Securities, commodities, and financial services sales agents connect buyers and sellers in financial markets. Wholesale and manufacturing sales representatives sell goods for wholesalers or manufacturers to businesses, government agencies, and other organizations."
7,Aerospace Engineering and Operations Technologist or Technician,77830.0,"Aerospace engineering and operations technologists and technicians install, run, and maintain equipment used to develop, test, produce, and sustain aircraft and spacecraft. Their work is critical to ensuring the safety and precision of key parts of these vehicles and systems.  Meet with aerospace engineers to discuss details and implications of test procedures  ",Aerospace engineering and operations technologists and technicians typically need an associate’s degree in engineering technology or a related field. Some employers consider candidates who have a high school diploma or have completed a certificate program. Some aerospace engineering and operations technologists and technicians must have security clearances to work on projects related to national defense. U.S. citizenship may be required for certain types and levels of clearance.   Communication skills. ,"Aerospace engineering and operations technologists and technicians usually work in manufacturing plants, laboratories, and offices. Most work full time.","aerospace engineering and operations technologists and technicians.    Aerospace engineers design, develop, and test aircraft, spacecraft, satellites, and missiles. Aircraft and avionics equipment mechanics and technicians install, test, adjust, and repair equipment and systems in aircraft. Drafters use software to convert the designs of engineers and architects into technical drawings. Electro-mechanical and mechatronics technologists and technicians operate, test, and maintain electromechanical or robotic equipment. Industrial engineering technologists and technicians help engineers solve problems affecting manufacturing layout or production. Mechanical engineering technologists and technicians help mechanical engineers design, develop, test, and manufacture machines and other devices."
8,Aerospace Engineer,130720.0,"Aerospace engineers design, develop, and test aircraft, spacecraft, satellites, and missiles. In addition, they create and test prototypes to make sure that they function according to design.  Coordinate and direct the design, manufacture, and testing of aircraft and aerospace products Aeronautical engineers ",Aerospace engineers typically need a bachelor’s degree in aerospace engineering or a related field to enter the occupation. Aerospace engineers who work on projects that are related to national defense may need a security clearance. Some types and levels of clearance require U.S. citizenship.   Analytical skills. ,"Aerospace engineers typically work in an office setting, often using a computer. Most work full time, and some work more than 40 hours per week.","aerospace engineers.    Aerospace engineering and operations technologists and technicians run and maintain equipment used to develop, test, produce, and sustain aircraft and spacecraft. Architectural and engineering managers plan, direct, and coordinate activities in the fields of architecture and engineering. Computer hardware engineers research, design, develop, and test computer systems and components. Electrical and electronic engineering technologists and technicians help engineers design and develop equipment that is powered by electricity or electric current. Electrical engineers design, develop, test, and supervise the manufacture of electrical equipment. Industrial engineers design, develop, and test integrated systems for managing industrial production processes. Materials engineers develop, process, and test materials used to create a wide range of products. Mechanical engineers design, develop, build, and test mechanical and thermal sensors and devices. Project management specialists coordinate the budget, schedule, staffing, and other details of a project."
9,Agricultural or Food Science Technician,47010.0,"Agricultural and food science technicians help agricultural and food scientists with testing and research related to plants, animals, fibers, and food and beverage products.  Follow protocols to collect, prepare, analyze, and properly store crop or animal samples  ","Entry requirements for agricultural and food science technicians vary. Some employers require or prefer that candidates have an associate’s or bachelor’s degree in biology, chemistry, agriculture, or a related field. Other employers hire candidates who have a high school diploma or the equivalent and related work experience.   Analytical skills. ","Agricultural and food science technicians work in laboratories, processing plants, farms and ranches, greenhouses, and offices. Most agricultural and food science technicians work full time, and some work more than 40 hours per week.","agricultural and food science technicians.    Agricultural and food scientists research ways to improve the efficiency and safety of agricultural establishments and products. Agricultural engineers solve problems concerning power supplies, machine efficiency, the use of structures and facilities, pollution and environmental issues, and the storage and processing of agricultural products. Agricultural workers maintain crops and tend livestock. Animal care and service workers attend to or train animals. Biological technicians assist biological and medical scientists with tasks such as laboratory setup, data collection, and observation. Chemical technicians conduct laboratory tests to help scientists analyze the properties of materials. Conservation scientists and foresters manage the land quality of forests, parks, rangelands, and other natural resources. Environmental science and protection technicians monitor the environment and investigate sources of pollution and contamination, including those affecting public health. Food processing equipment workers operate machinery that mixes, cooks, or processes ingredients for manufacturing food products. Microbiologists study microorganisms such as bacteria, algae, and fungi."
