team,Season,Co-ed teams,LGBT teams,Straight/Gay Teams,Friend teams,Hometown,Relation,Occupation,Legs Competed,Legs Won,Placement,Average Position,Roadblock<br/>Count,All-female teams,Asian-American Teams,Engaged teams,Lesbian teams,Interracial Teams,Interracial Teams],,Version,Dating teams,U-Turned teams,wgPageContentModel:wikitext,Medevac,wgRelevantPageName:Abby_\u0026_Will,Disabled teams,Married teams,Express Pass users,Finalists,Hashtag,Internet Movie Database,Exes teams,Yield users,Yielded teams,All-male teams,Family teams,In-law teams,wgRelevantPageName:Aiello_Family,wgRelevantArticleId:,African-American Teams,wgRelevantPageName:Aja_\u0026_Ty,African-American teams,Cousins teams,Disabled teams],U-Turn users,Sibling teams,wgRelevantPageName:,Reality Show Teams,Work-related teams,Speed Bump performers,wgPageContentLanguage,wgRelevantPageName:Amanda_\u0026_Chris,wgRelevantArticleId:2220,Reality Show Teams],Winners,Winners],Parent/Child teams,YouTube,Jewish Teams,Jewish Teams],wgRelevantPageName:Anita_\u0026_Arthur,Discharged teams,Discharged teams],wgRelevantPageName:Anthony_\u0026_Stephanie,Penalized teams],wgRelevantPageName:Avi_\u0026_Joe,wgPageContentLanguage:,Stranger teams,Gay Teams,Blind Dating teams,Stranger teams],Muslim Teams,Muslim Teams],wgRelevantPageName:Bilal_\u0026_Sa'eed,Deceased,Deceased],Died,wgRelevantPageName:Black_Family,wgRelevantPageName:Bob_\u0026_Joyce,wgRelevantArticleId:2310,wgRelevantPageName:Brad_\u0026_Victoria,wgRelevantArticleId:2271,LGBT Winners,LGBT Winners],Dating teams],wgPageContentModel,Gay/Bisexual Teams,Lesbian teams],LGBT teams],wgRelevantPageName:Cyndi_\u0026_Russell,wgRelevantPageName:Dave_\u0026_Cherie,wgRelevantPageName:Dave_\u0026_Lori,Quitters,Quitters],wgRelevantPageName:Debbie_\u0026_Bianca,wgRelevantPageName:Debra_\u0026_Steve,wgRelevantArticleId:2282,wgRelevantPageName:Dennis_\u0026_Erika,Straight/Bisexual Teams,Twin sibling teams,Composite teams,Returning racers,wgRelevantPageName:Eric_\u0026_Lisa,wgRelevantPageName:Fran_\u0026_Barry,wgRelevantArticleId:2234,wgRelevantPageName:Gaghan_Family,wgRelevantPageName:Garrett_\u0026_Jessica,wgRelevantPageName:Gina_\u0026_Sylvia,wgRelevantArticleId:2295,wgRelevantPageName:Hope_\u0026_Norm,wgRelevantArticleId:2280,Date Night users,wgRelevantPageName:Jim_\u0026_Marsha,wgRelevantPageName:Jody_\u0026_Shannon,wgRelevantPageName:Joe_\u0026_Ian,wgRelevantPageName:Joey_\u0026_Danny,wgRelevantPageName:John_\u0026_Scott,wgRelevantPageName:Jon_\u0026_Al,wgRelevantPageName:Kate_\u0026_Pat,Hazard performers,Social Media,wgRelevantPageName,wgRelevantPageName:Kim_\u0026_Leslie,wgRelevantPageName:Kris_\u0026_Jon,Non-Elimination Leg Survivors],wgRelevantPageName:Lake_\u0026_Michelle,wgRelevantPageName:Lance_\u0026_Keri,Linkedin,Straight/Bisexual Teams],wgRelevantPageName:Liam_\u0026_Yeremi,wgRelevantPageName:Linz_Family,wgRelevantPageName:Lisa_\u0026_Joni,wgRelevantPageName:Lori_\u0026_Bolo,wgRelevantArticleId,Hispanic-American Teams,Gay Teams],wgRelevantPageName:Lynn_\u0026_Alex,wgRelevantPageName:Marcy_\u0026_Ron,wgRelevantArticleId:2279,wgRelevantPageName:Marisa_\u0026_Brooke,wgRelevantPageName:Mary_\u0026_Peach,wgRelevantPageName:Matt_\u0026_Ana,wgRelevantArticleId:2171,wgIsProbablyEditable:false,wgRelevantPageName:Megan_\u0026_Heidi,wgRelevantArticleId:2321,wgRelevantPageName:Michael_\u0026_Kathy,Speed Bump performers],wgRelevantPageName:Millie_\u0026_Chuck,Work-related teams],wgRelevantPageName:Pat_\u0026_Brenda,wgRelevantPageName:Peggy_\u0026_Claire,wgRelevantPageName:Preston_\u0026_Jennifer,Friend teams],wgRelevantPageName:Rob_\u0026_Kelley,wgRelevantPageName:Rob_\u0026_Sheila,wgRelevantPageName:Robbin_\u0026_Chelsea,wgRelevantPageName:Russell_\u0026_Cindy,wgRelevantPageName:Ryan_\u0026_Chuck,wgRelevantArticleId:2318,wgRelevantPageName:Steve_\u0026_Linda,wgRelevantPageName:Tian_\u0026_Jaree,Greeters,wgRelevantPageName:Tim_\u0026_Danny,wgRelevantPageName:Tim_\u0026_Rex,wgRelevantPageName:Todd_\u0026_Ashlie,wgRelevantPageName:Vipul_\u0026_Arti,profile_txt,profile_txt2
Aaron_%26_Arianne,['3'],1.0,1.0,1.0,1.0,"New York City, New York",Lifelong friends,Pre-school teacher (Aaron)<br/>Waitress (Arianne),6,0,7th,5.16,Aaron: 3<br/>Arianne: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"['\n', 'Aaron and Arianne have been friends for over 15 years after meeting at the Florida Academy of Dramatic Arts. Aaron thought ""she was stuck up, a show off and developed a huge crush on her that he want to crush her.""\n', 'They are the worst of friends and have traveled through life together: ""it\'s been like a steel coaster--scary."" They have shared many wonderful memories together and hard times as well. The only problem with being more than just friends is that Aaron is gay and Arianne is straight. As Arianne says, her biggest disappointment with Aaron is that ""they planned to be together some day they will not be naturally conceived.""\n', 'They both look at this experience as an opportunity to travel the world with their best friend. Aaron describes himself as passionate, loyal and carefree, while Arianne describes herself as emotional, exotic and down to earth. They feel that they will win because of their physical abilities, agility, urban sensibility and, of course, their sense of humor.\n', 'The agree that the most important items in their backpacks are their iPod and wristbands, because as they say ""music inspires us and our style inspires others."" Aaron and Arianne are fluent in both body language and the international language of love.\n', '', '\n', 'How would you describe your previous travel experience?\n', 'What is the most stressful aspect of traveling?\n', 'What is the most important item in your backpack, and why?\n', 'Why did you want to be on THE AMAZING RACE?\n', 'Have you and your partner traveled together before? If so, what was it like?\n', 'What do you fear most about competing in THE AMAZING RACE?\n', 'What strengths and weaknesses do you bring to the Team?\n', 'What strengths and weaknesses does your teammate bring to the Team?\n', 'What will you miss the most from home (besides your bed)?\n', 'What languages do you speak?\n', 'What destination are you hoping to visit?\n', 'What country do you feel best prepared for?\n', '', 'Bio', 'Q & A', ""Aaron: I've done a lot of domestic and a little international traveling. It's all been a positive experience. I love to see new things, meet new people, and especially, eat new foods. I'm looking forward to seeing more."", ""Arianne: I've had some good times in a small handful of countries. It's high time to cover the rest of the world."", 'Aaron: The actual act of traveling. Airports have a tendency to stress me out, so does waiting in lines, large crowds and cramped spaces.', 'Arianne: Obtaining airline tickets, long lines and misplacing my passport.', 'Aaron: Our iPod & our wristbands. Music and style are integral parts of our lives, both individually and as a Team.', 'Arianne: We have an iPod, wristbands and pretty Persian scarves. This is very important, because music inspires us, and our style inspires others.', 'Aaron: The chance to check out of my day-to-day life and have the adventure of a lifetime with my best friend. Also, more and more, the money seems to be appealing.', 'Arianne: I have nothing better to do than take a free trip around the world and win a million dollars.', 'Aaron: Yes. Domestic and short-term, but always a blast.', ""Arianne: We have traveled through life together. It's been like a roller coaster: scary, thrilling and so much fun."", 'Aaron: Eating live insects and being in deep ocean waters.', ""Arianne: I'm afraid of eating live bugs and the chance my parachute won't open."", ""Aaron: I'm very focused. When I set my mind on something, it gets done. I can usually get what I want and I can multi-task with the best of them. My directness in getting things accomplished can sometimes be off-putting to others. I get so focused that I have a tendency not to recognize how I affect others. When task-mastering, I have no patience."", ""Arianne: My strengths tend to be Aaron's weaknesses and vice versa. I tend to be more laid back and tolerant of the status quo, whereas Aaron brings a certain clear-minded focus. These traits can be strengths or weaknesses depending on the situation. We really complement each other in that way. We're both in the best shape of our lives and have a fierce endurance. We're agile and able to learn and adapt to awkward physical challenges. Our urban sensibility makes us well-suited to handle new cultures, and our sense of humor makes our weaknesses a little less weak and a lot more funny."", 'Aaron: Arianne is compassionate, capable, determined and sexy. Her physical strength blended with her inner and outer beauty, sprinkled with her urban savvy, survival instincts and sense of humor, is a recipe for success. Her only weakness in relation to the Race might be her judgment with people. She wants to believe in everyone.', 'Arianne: See my answer to the previous question.', 'Aaron: My cats, Siena and Sydney, first. But coming in a close second is my shower and all its gorgeous products.', ""Arianne: I will miss my cat, Ming. I'll also miss my phone."", 'Aaron: The international language of love.', 'Arianne: I speak body language fluently.', ""Aaron: I'd love to do some extensive European traveling, especially in the Mediterranean."", 'Arianne: I have this Tokyo itch. I really want to check out Japan.', ""Aaron: Aside from language barriers, I feel confident that I'm prepared for anything or anyplace."", 'Arianne: I lived in the U.K. for a semester during college. I know London pretty well and have visited Scotland and Wales. And the locals seem to have a real grasp of the English language.[2]']"
Aastha_%26_Nina,['34'],,1.0,,,"Marina Del Ray, California",Engaged,VP of Operations (Aastha)<br/>Director of Business Development (Nina),1,0,12th,12.00,Aastha: 0<br/>Nina: 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"<a href=""/wiki/The_Amazing_Race_(US)"" title=""The Amazing Race (US)"">United States</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],['no profile info']
Abbie_%26_Ryan,['21'],1.0,,,,"Encinitas, California (Abbie)<br/>San Diego, California (Ryan)",Dating Divorcees,Dance Instructor/Choreographer (Abbie)<br/>Financial Service Company Owner/<br/>Start Up Company Entrepreneur (Ryan),9,2,5th,2.78,Abbie: 4<br/>Ryan: 6,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Age: 31\nHometown: Encinitas, Calif.\nConnection to your teammate: Dating Divorcees\nCurrent occupation: Dance Instructor/Choreographer\nDescribe what you do: I technically train competitive students which includes tap, jazz, turning/jumping and condition classes. I also choreograph dance routines and design costumes/props for competitive dance groups and soloists on a regional/national level.\nFavorite hobbies: Dance, design and exercise.\n3 words to describe you: Creative, athletic and thoughtful.\nWhat is the accomplishment you are most proud of? I am most proud of the training and growth that I have provided for the past eight years at my dance studio as well as the accomplishments that I have helped my students to achieve. It is so rewarding to see students achieve their goals and grow as dancers and human beings.\nWhat famous person reminds you of yourself? Katniss\nWhat famous person reminds you of your teammate? Hugh Jackman for his stellar good looks (not for the song and dance talent, though.)\nWhat scares you most about traveling? Getting lost and not having the ability to communicate.\nWhat excites you most about traveling? I hate how generic this is, but it is true… Exploring new places that I have never been to before.\nBiggest challenge you and your teammate will face on The Race together: I would have to say it\'s a tie between learning to communicate and not piss each other off at the same time. We can be juvenile and sarcastic with one another. The other would be our battle for control/power between over each other. We are both Type ""A"" and can be bull-headed.\nPet peeve about your teammate: He\'s addicted to his phone and can\'t disconnect easily. Also, his impulsivity can cause problems.\nWhat country and place would you most like to visit and why? I would love to visit Paris, France and go back to the 1920s. Can we make that happen? Last time I went I was 21 and broke. I could barely afford a baguette. I\'m hoping this time will be a step up from that.\nWhat do you hope to accomplish by running The Race (other than winning one million bucks)? I\'m hoping to gain some clarity on what I mean to Ryan. I feel lately that our relationship has become a rollercoaster. The highs are high but the lows are low. I am trying to be patient, but I know what I want and right now he can\'t give that to me.\n', ""Age: 35\nHometown: San Diego, Calif.\nConnection to your teammate: Dating Divorcees\nCurrent occupation: Financial Service Company Owner and Start Up Company Entrepreneur\nDescribe what you do: Creating, Communicating and Implementing.\nFavorite hobbies: Brazilian Jiu Jitsu\n3 words to describe you: Positive, unfiltered and danger seeking.\nWhat is the accomplishment you are most proud of? Forming, developing and branding an ever-lasting, internationally recognized and reputable financial services firm with over 6.5 billion dollars in assets under service/management.\nWhat famous person reminds you of your teammate? Oprah, because she is giving, smart and successful.\nWhat scares you most about traveling? Being taken and held hostage.\nWhat excites you most about traveling? Immersing myself in new environments and new people. Absorbing a new culture.\nBiggest challenge you and your teammate will face on The Race together: When we fight I spit venom and don't tend to converse like a normal human being.\nPet peeve about your teammate: She is over analytical, doesn't compromise and plays the victim.\nWhat country and place would you most like to visit and why? Thailand – It looks beautiful and is close to other counties. I hate traveling to just one place; I'd prefer to have access to nearby countries.\nWhat do you hope to accomplish by running The Race (other than winning one million bucks)? I hope to gain clarity about this relationship. Can it work at a time when I want to be boyfriend/girlfriend and she wants something more?\n"", 'Notes:\n\n1: Leg 1 had two Roadblocks and no Detour. The team member who sat out the first Roadblock was required to perform the second one.\n\n']",['no profile info']
Abby_%26_Will,['34'],1.0,,,,"Birmingham, Alabama",Dating,Data Scientist (Abby)<br/>Accountant (Will),5,0,8th,6.00,Abby: 3<br/>Will: 2,,,,,,,1.0,"<a href=""/wiki/The_Amazing_Race_(US)"" title=""The Amazing Race (US)"">United States</a>",1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Notes:\n\n1: Leg 3 was a megaleg, with two Detours and two Roadblocks, shown over two episodes. The placement listed in the top row reflect the order teams completed the first half's Roadblock.\n\n2: Abby & Will were medically removed from the Race after Will tested positive for COVID-19.\n\n""]",['no profile info']
Adam_%26_Bethany,['25'],1.0,,,,"Princeville, Hawaii",Married Surfers,Professional Husband/ Full-time support (Adam)<br/>Professional Surfer/Motivational Speaker (Bethany),12,3,3rd,2.83,Adam: 5<br/>Bethany: 4,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,#SoulSurfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Age: 26\nHometown: Princeville, Hawaii\nConnection to your teammate: Husband\nCurrent occupation: Professional husband. Full-time support.\nDescribe what you do: Switching my life from full-time youth ministry and substitute teacher to married life has been an amazing experience. I love being with my wife as she travels so often and being her rock, support and encourager for life.\n3 words to describe you: Hard-working, easy-going and patient.\nFavorite hobbies: Surfing, adventure (hiking, exploring, etc.) and spear fishing.\nWhat is the accomplishment you are most proud of? Having awesome friends.\nWhat famous person reminds you of yourself? Tom Cruise.\nWhat famous person reminds you of your teammate? Amelia Earhart.\nWhat scares you most about traveling? Not being able to communicate well with people in foreign countries and getting lost!\nWhat excites you most about traveling? Experiencing new cultures and sharing those adventures with my best friend/wifey.\nBiggest challenge you and your teammate will face on The Race together: We sometimes have a hard time communicating when we are frustrated with one another. I want us to be more open and talk about these frustrations before they build up into something bigger.\nPet peeve about your teammate: Sometimes she eats with her mouth open.\nWhat country and place would you most like to visit and why? New Zealand or Iceland. They are both beautiful and have tons of outdoor adventures like surfing, hiking and extreme sports.\nWhat do you hope to accomplish by running The Race (other than winning one million bucks)? I hope the experience will test our relationship, draw us closer and strengthen our marriage.\n', 'Age: 24\nHometown: Princeville, Hawaii\nConnection to your teammate: Wife\nCurrent occupation: Pro Surfer and Motivational Speaker\nDescribe what you do: I travel the world surfing unique locations and compete against the best women in the world. I love surfing. I also speak to different groups in the U.S. and internationally, motivating them to live a life of overcoming!\n3 words to describe you: Determined, positive and adventurous.\nFavorite hobbies: Surfing, tennis, working out, creating healthy meals and hanging with my hubby and dogs.\nWhat is the accomplishment you are most proud of? Surfing with one arm!\nWhat famous person reminds you of yourself? My mom. She loves surfing like me.\nWhat famous person reminds you of your teammate? Matthew McConaughey\nWhat scares you most about traveling? Being away from the ocean and long sits on planes.\nWhat excites you most about traveling? I love seeing the unique beauties of other countries, experiencing different cultures and doing it with Adam.\nBiggest challenge you and your teammate will face on The Race together: I\'m a girl and I\'m more emotional. Plus, I have one arm.\nPet peeve about your teammate: When he doesn\'t share.\nWhat country and place would you most like to visit and why? I\'ve always wanted to go to Madagascar because it seems remote and adventurous. Peru, to surf and <a href=""http://en.wikipedia.org/wiki/Machu_Picchu"" class=""exti']",['no profile info']
Adam_%26_Rebecca,['6'],1.0,,,,"Los Angeles, California",Formerly dating,Personal trainers,12,1,3rd,4.58,Adam: 6<br/>Rebecca: 5,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"['\n', ""Adam & Rebecca are an ex-couple that met at a spinning class. Rebecca's first impression of Adam was that he was gay, but after he pursued her for months, he proved otherwise. Both of them are spinning teachers/personal trainers.\n"", ""Both say that they share similar sensibilities, are very competitive and are both interested in fitness, but are different in every other way. She is social, he isn't. She's outgoing, he's not. He is practical and prefers routine, while she is spontaneous.\n"", '', '\n', 'How would you describe your previous travel experience?\n', 'What is the most stressful aspect of traveling?\n', 'Why did you want to be on THE AMAZING RACE?\n', 'Have you and your partner traveled together before? If so, what was it like?\n', 'What do you fear most about competing in THE AMAZING RACE?\n', 'What strengths and weaknesses do you bring to the Team?\n', 'What strengths and weaknesses does your teammate bring to the Team?\n', 'What will you miss the most from home (besides your bed)?\n', 'What languages do you speak?\n', 'What destination are you hoping to visit?\n', 'What country do you feel best prepared for?\n', '', 'Bio', 'Before the Race', 'Adam: My previous travel experience is limited at best. For me, going from the [San Fernando] Valley to Santa Monica is quite the trek. I consider a long trip sitting in the car for more than 45 minutes.', 'Rebecca: Vast. I am very restless and have trouble staying put. I studied in London for six months and often missed class because I was always traveling.', 'Adam: I do not know what the most stressful aspect of traveling is. I really do not even know what ""traveling"" is like. Good luck to me.', ""Rebecca: I hate flying. But with today's advances in prescription drugs, I'm dealing with this."", 'Adam: I wanted to be on THE AMAZING RACE because it is my favorite TV show. Every week, I sit and watch and think to myself, ""These people are crazy. I\'m crazy. I could do this."" Also, I thought I needed a vacation. Again, good luck to me.', 'Rebecca: Traveling the world for free sounds really good to me!', 'Adam: Rebecca and I have traveled together in the past. I went on a cruise to the Caribbean with her and her family and hung out at their home in Virginia Beach for a couple of weeks. It was one of the best times I have ever had in my life.', 'Rebecca: Adam came with my family on a cruise in the Caribbean and then we spent some time together in my hometown, Virginia Beach. We had our usual daily arguments over trivial things, but overall we had a great time!', 'Adam: My biggest fear concerning the competition is possibly having to bungee jump. The thought has been leaving me sleepless.', 'Rebecca: My biggest fear is that Adam and I will kill each other and will not be able to finish the Race because we will be dead.', 'Adam: I am not the bravest person on the planet. I do not like heights, bugs, weird food, heat, extreme cold or anything else outside my routine. On the other hand, I am relentless, motivating, strong, smart and competitive.', ""Rebecca: I have strong communicative skills and can easily adapt. My weakness is that I'm very impatient, mostly with Adam. I have no sense of direction and cannot read a map to save my life."", 'Adam: Rebecca might just be the bravest person on the planet. She is not scared of anything (even if she is, she will try it anyway) and hates routine. Rebecca does not possess the gift of patience, which she will need in dealing with me.', ""Rebecca: Adam is very competitive and passionate about everything he does. He will give 100 percent and never give up. He can be verbally abusive to me, and has trouble being social. He often isn't the friendliest, and I'm afraid that will hinder us from forming potential alliances."", 'Adam: I will miss my dog Bailey the most. A close second is my spinning class. I never miss it. Hi Spinners.', 'Rebecca: Other than my friends and family, I have no attachments, except maybe my spicy tuna rolls and my spinning classes.', 'Adam: I speak English, though some would question that statement. Also, yo hablo Espanol, un poco.', ""Rebecca: A little Hebrew, but somehow I don't think that will come in very handy on this Race."", 'Adam: I am hoping that the Race takes us to Argentina, as my grandparents are from there. I have always wanted to visit.', 'Rebecca: I really want to go to Africa and Asia.', 'Adam: I feel best prepared to go where the weather is a balmy 78 degrees all the time and the protein bars flow like water from every corner store. Hmmmm, sounds like home.', ""Rebecca: England: no language barrier, and I've spent a lot of time there.[2]""]"
Aiello_Family,['8'],,,,,"Mansfield, Massachusetts",Father and sons-in-law,Restaurant consultant (Tony)<br/>Public relations (Kevin)<br/>Corporate project manager (Matt)<br/>Police officer (David),3,0,8th,7.00,Tony: 0<br/>Kevin: 0<br/>Matt: 1<br/>David: 2,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],['no profile info']
Aja_%26_Ty,['13'],1.0,,,,"Los Angeles, California (Aja)<br/>West Bloomfield, Michigan (Ty)",Dating long-distance,Makeup artist (Aja)<br/>Banker (Ty),5,0,7th,6.20,Aja: 2<br/>Ty: 2,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],['no profile info']
Akbar_%26_Sheri,['33'],1.0,,,,"Martinsville, New Jersey",Married,High School Principal (Akbar)<br/>Educator (Sheri),6,0,6th,6.50,Akbar: 2<br/>Sheri: 3,,,,,,,1.0,"<a href=""/wiki/The_Amazing_Race_(US)"" title=""The Amazing Race (US)"">United States</a>",,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Name: Akbar Cook\nAge: 45\nHometown: Martinsville, New Jersey\nCurrent occupation: Educator\n', 'Name: Sheridan Cook\nAge: 44\nHometown: Martinsville, New Jersey\nCurrent occupation: Educator\n', 'Akbar Cook and Sheri Cook, married educators from Martinsville, New Jersey.\n', 'Akbar, 45, and Sheri, 44, have been married for 17 years with three children. They met in college, both playing Division 1 basketball. They hope their time in education has given them the patience to run a successful race and take home the million dollars for both their children and students.\n']",['no profile info']
Alex_%26_Adam,['27'],,,,,"Champaign, Illinois (Alex)<br/>Des Moines, Iowa (Adam)",Cousins,Department Supervisor (Alex)<br/>Host/Server (Adam),2,0,10th,8.00,Alex: 1<br/>Adam: 0,,,,,,,1.0,,,,1.0,,,1.0,,,,#TheCousins,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Age:\xa022\nHometown:\xa0Champaign, Ill.\nConnection to your teammate:\xa0Cousin\nCurrent occupation:\xa0Department Supervisor in Retail sales\nDescribe what you do:\xa0I am in charge of the apparel department.\xa0 I take new products and put them on the floor while supervising the store.\n3 words to describe you:\xa0Funny, a ladies man and courageous.\nFavorite hobbies:\xa0Coaching, bowling and hiking.\nWhat is the accomplishment you are most proud of?\xa0Making it to the state tournament for wrestling in high school and receiving my Associates degree.\nWhat famous person reminds you of yourself?\xa0Matt Damon\nWhat famous person reminds you of your teammate?\xa0Matthew Broderick\nWhat scares you most about traveling?\xa0Getting completely lost.\nWhat excites you most about traveling?\xa0I'm excited to see different cultures and traditions. \xa0Also, seeing the different landscapes.\nBiggest challenge you and your teammate will face on The Race together:\xa0My partner talks way too much.\xa0 I'll have to talk over him just so he can hear me.\nPet peeve about your teammate:\xa0He plans everything out and overthinks everything!\nWhat country and place would you most like to visit and why?\xa0India. I have always wanted to see the Himalayas and meet a Sherpa.\nWhat do you hope to accomplish by running The Race (other than winning one million bucks)?\xa0I hope to gain many funny memories, prove that I can accomplish and am capable of anything, and conquer my fears!\nFollow on Twitter and Instagram:\xa0@Atm105\n"", ""Age:\xa024\nHometown:\xa0Des Moines, Iowa (Currently lives in Valley Village, Calif.)\nConnection to your teammate:\xa0Cousin\nCurrent occupation:\xa0Host/server\nDescribe what you do:\xa0I am part of the host training team. I am also a server, so I brighten peoples' day with food!\n3 words to describe you:\xa0Dependable, lively and enthusiastic.\nFavorite hobbies:\xa0Storm chasing in the Midwest, hiking and singing.\nWhat is the accomplishment you are most proud of?\xa0Moving to Los Angeles when I was 18. I didn't know a single person and have now made a life for myself.\nWhat famous person reminds you of yourself?\xa0Adam DeVine.\nWhat famous person reminds you of your teammate?\xa0Matt Damon and Bruce Willis.\nWhat scares you most about traveling?\xa0Trying different foods and getting completely lost.\nWhat excites you most about traveling?\xa0Seeing the beauty of nature and learning new customs. I want to go everywhere!\nBiggest challenge you and your teammate will face on The Race together:\xa0When Alex gets stressed, he tends to blame others for the problem. When he gets competitive, he gets very loud.\nPet peeve about your teammate:\xa0He puts things off until the last minute, whereas I like to plan things out.\nWhat country and place would you most like to visit and why?\xa0Netherlands.\xa0I'm Dutch and it would be unbelievable to see where my ancestors came from and how they lived.\nWhat do you hope to accomplish by running The Race (other than winning one million bucks)?\xa0I know there are going to be a lot of stressful situations, but I hope to stay positive and live in the moment to experience all the different cultures.\nFollow on Twitter:\xa0@Adingeman\nFollow on Instagram:\xa0@ading12345\n""]",['no profile info']
